multiplier
0.9992
1.0213
1.011
0.7796
0.7983
0.8162
0.8118
0.8032
0.7981
0.8092
0.814
0.8287
0.8338
0.8492
1.0401
1.0592
1.0647
1.0745
1.0912
1.0987
1.1187
1.3393
1.406
1.4217
1.4378
