index,multiplier,round_duration
1,1.0445,0.0
2,0.8591,2.0010000000038417
3,0.9425,4.001000000003842
4,0.8999,6.002999999996973
5,1.0963,8.001000000003842
6,1.074,10.002000000007683
7,1.3732,12.010999999998605
8,1.1127,14.001000000003842
9,1.0768,16.002000000007683
10,1.0998,18.002000000007683
11,1.3003,20.002999999996973
12,1.8091,23.023000000001048
13,2.961,25.00100000000384
14,3.0399,27.002999999996973
15,2.7143,29.00100000000384
16,3.193,31.00100000000384
17,3.3083,33.00100000000384
18,3.9956,35.00100000000384
19,3.3976,37.00200000000768
20,3.6303,39.00200000000768
21,4.4274,41.00100000000384
22,3.494,43.0
23,3.4143,45.0
24,3.443,47.01900000000023
25,4.9247,49.0
26,5.0261,51.00200000000768
27,3.4715,53.01400000001013
28,3.6176,54.99899999999616
29,3.8195,57.00100000000384
30,3.8996,59.00200000000768
31,4.0142,61.013000000006286
32,2.6128,63.0
33,2.9501,65.0
34,3.0122,67.0170000000071
35,4.1568,69.00400000000081
36,4.3459,71.0
37,4.6863,73.0
38,5.3097,75.00100000000384
39,5.6906,77.0
40,6.3051,79.00299999999697
41,4.881,81.00400000000081
42,3.7847,83.00100000000384
43,3.9673,84.99899999999616
44,6.0586,87.00200000000768
45,7.6379,89.00299999999697
46,6.6676,91.00200000000768
47,6.4958,93.00100000000384
48,6.5398,95.0
49,5.2161,97.00200000000768
50,4.1896,99.0069999999978
51,4.2325,101.00100000000384
52,5.2636,103.00200000000768
53,6.3686,105.00200000000768
54,10.7205,107.0040000000008
55,11.1929,109.0040000000008
56,14.1909,111.02100000000792
57,13.2748,113.00299999999696
58,12.3729,115.0
59,14.9726,117.00299999999696
60,12.2005,119.00200000000768
61,13.3362,121.00100000000384
62,11.6153,123.00100000000384
63,10.2292,125.00299999999696
64,11.138,127.00100000000384
65,14.072,129.00200000000768
66,16.5357,132.01400000001013
67,16.3372,134.0
68,16.843,136.0
69,16.948,138.0
70,13.8369,140.00100000000384
71,15.6001,142.00100000000384
72,21.0951,144.0
73,21.7912,146.00100000000384
74,17.0647,148.00200000000768
75,21.6301,150.0
76,28.7115,152.0040000000008
77,35.1686,154.00100000000384
78,29.7033,156.01600000000326
