index,multiplier,round_duration
1,1.0001,0.0
2,1.0148,0.2100000000027648
3,1.0089,0.4500000000007276
4,1.0138,0.647000000000844
5,1.0138,0.8430000000007567
6,1.0174,1.0310000000026776
7,1.0291,1.2410000000018044
8,1.1837,1.4420000000027358
9,1.1987,1.6570000000028813
10,1.1891,1.8700000000026196
11,1.1841,2.0710000000035507
12,1.1261,2.265000000003056
13,0.9163,2.4690000000009604
14,0.9341,2.665000000000873
15,0.9432,2.89100000000326
16,0.9351,3.100000000002183
17,0.9337,3.295000000001892
18,0.9372,3.5130000000026484
19,0.9396,3.7230000000017753
20,0.9326,3.9530000000013383
21,0.9404,4.161000000000058
22,0.9571,4.380000000001019
23,1.0788,4.595000000001164
24,1.1635,4.795000000001892
25,1.1579,5.0090000000018335
26,1.1457,5.199000000000524
27,1.1609,5.39600000000064
28,1.1657,5.608000000000175
29,1.088,5.796000000002096
30,0.8999,6.004000000000815
31,0.9166,6.200000000000728
32,0.9271,6.424000000002707
33,0.9536,6.64100000000326
34,0.9685,6.867000000002008
35,0.9701,7.086000000002969
36,0.9642,7.291000000001077
37,0.9655,7.496000000002823
38,0.9577,7.733000000000175
39,0.957,7.94800000000032
40,0.9632,8.159000000003289
41,0.9581,8.372000000003027
42,0.959,8.579000000001543
43,0.9662,8.791000000001077
44,0.9813,8.992000000002008
45,0.9875,9.189000000002125
46,1.0114,9.412000000000262
47,1.0085,9.6150000000016
48,1.011,9.83100000000195
49,1.0241,10.0470000000023
50,1.042,10.254000000000817
51,0.8899,10.454000000001544
52,0.8531,10.676000000003114
53,0.8545,10.854000000002998
54,0.8396,11.072000000000116
55,0.681,11.27900000000227
56,0.7028,11.485000000000582
57,0.7054,11.682000000000698
58,0.7019,11.899000000001251
59,0.7005,12.09400000000096
60,0.7004,12.283000000003083
61,0.6895,12.48700000000099
62,0.6767,12.715000000000146
63,0.6659,12.929000000000087
64,0.6778,13.147000000000844
65,0.7229,13.336000000002969
66,0.8168,13.544000000001688
67,0.827,13.759000000001834
68,0.8329,13.984000000000378
69,0.8451,14.179000000000087
70,0.7972,14.381000000001222
71,0.6954,14.577000000001137
72,0.7025,14.759000000001834
73,0.7044,14.96400000000358
74,0.7102,15.170000000001892
75,0.7088,15.388000000002648
76,0.711,15.59400000000096
77,0.7237,15.787000000000262
78,0.8445,15.991000000001804
79,0.8313,16.199000000000524
80,0.8248,16.40900000000329
81,0.8315,16.62000000000262
82,0.8435,16.81000000000131
83,0.8558,17.010000000002037
84,0.8669,17.21100000000297
85,0.8603,17.426000000003114
86,0.8664,17.627000000000407
87,0.8793,17.80000000000291
88,0.8914,17.989000000001397
89,1.005,18.19000000000233
90,1.065,18.39900000000125
91,1.0726,18.598000000001772
92,1.0687,18.80500000000029
93,1.0896,19.009000000001837
94,1.096,19.228000000002798
95,1.0977,19.42700000000332
96,1.1121,19.62000000000262
97,1.1335,19.80300000000352
98,1.1521,20.02400000000125
99,1.183,20.235000000000586
100,1.1808,20.444000000003143
101,1.1795,20.652000000001863
102,1.2609,20.85200000000259
103,1.4111,21.03200000000288
104,1.4285,21.247000000003027
105,1.4235,21.463000000003376
106,1.4328,21.66700000000128
107,1.4345,21.87800000000061
108,1.4278,22.05500000000029
109,1.4502,22.262000000002445
110,1.6783,22.481000000003405
111,1.741,22.69800000000032
112,1.7312,22.90700000000288
113,1.7288,23.1150000000016
114,1.7502,23.30600000000049
115,1.7795,23.4900000000016
116,1.8039,23.68800000000192
117,1.8085,23.90000000000145
118,1.033,24.09400000000096
