round,type,entry,exit,bet,pnl,capital,reason,return_pct
round_0713,post_massive,1.241,1.0212,23.547068602701202,-4.170544463234265,1203.3714351624683,stop,-17.711522965350525
round_0722,post_massive,1.2863,1.038,23.465742985668133,-4.529692904720047,1198.8417422577481,stop,-19.303428438155944
round_0734,hot_streak_3,1.7938,1.5009,9.398919259300744,-1.5346992145440908,1197.307043043204,stop,-16.328464711785053
round_0743,post_massive,1.3616,2.076,18.67798987147398,9.799908904363257,1207.1069519475673,target,52.46768507638073
round_0747,post_massive,1.2908,1.0374,23.538585562977563,-4.620915387092122,1202.4860365604752,stop,-19.631236442516254
round_0771,momentum,2.1803,1.6741,14.429832438725704,-3.3501725361110637,1199.135864024364,stop,-23.216988487822775
round_0784,momentum,2.049,1.6348,8.63377822097542,-1.745295724318213,1197.3905683000457,stop,-20.214738897022933
round_0789,hot_streak,1.3239,1.092,11.734427569340447,-2.0554526424428197,1195.335115657603,stop,-17.516428733288013
round_0791,hot_streak_3,1.3644,0.0,9.371427306755606,-9.371427306755606,1185.9636883508474,crash,-100.0
round_0797,post_massive,1.2537,1.0575,23.126291922841524,-3.6191899778746937,1182.3444983729726,stop,-15.649676956209612
round_0798,hot_streak_5,1.0727,5.2653,19.46611982121262,76.082459180028,1258.4269575530004,target,390.845529971101
round_0819,hot_streak_3,1.4263,2.1476,14.094381924593604,7.12772746421466,1265.5546850172152,target,50.57140853957796
round_0820,post_massive,1.1757,0.8298,24.678316357835694,-7.260550844752373,1258.294134172463,stop,-29.420770604746103
round_0821,hot_streak_5,1.0716,0.8844,29.59507803573633,-5.170024830430986,1253.124109342032,stop,-17.469204927211656
round_0824,post_massive,1.2682,1.8617,19.5487361057357,9.14853720135163,1262.2726465433834,target,46.798612206276616
round_0825,hot_streak_3,1.4153,1.1398,14.137453641285893,-2.751973771055088,1259.5206727723282,stop,-19.465837631597548
round_0830,hot_streak_3,1.2503,1.0904,14.106631535050075,-1.8040873250056038,1257.7165854473226,stop,-12.788930656642405
round_0852,post_massive,1.246,1.7508,24.525473416222788,9.936162905705665,1267.652748353028,target,40.513643659711065
round_0853,hot_streak_5,1.0644,0.901,20.870634848884254,-3.2039287244529184,1264.4488196285752,stop,-15.351371664787672
round_0854,hot_streak,1.6586,3.1394,12.391598432360034,11.06323342496005,1275.5120530535353,target,89.28011576027977
round_0855,hot_streak,1.059,0.8178,17.857168742749494,-4.067185175402432,1271.4448678781328,stop,-22.77620396600566
round_0856,hot_streak_3,1.6677,1.3879,14.240182520235086,-2.3891605619486587,1269.0557073161842,stop,-16.777597889308637
round_0857,hot_streak_3,1.2548,2.062,14.213423921941263,9.143350167190778,1278.1990574833749,target,64.32897672935927
round_0858,hot_streak_3,1.346,0.0,14.315829443813797,-14.315829443813797,1263.8832280395611,crash,-100.0
round_0860,hot_streak_3,1.248,0.9869,14.155492154043083,-2.9615376613947504,1260.9216903781664,stop,-20.921474358974358
round_0877,post_massive,1.2105,0.9715,24.58797296237425,-4.854626631976409,1256.06706374619,stop,-19.74390747624948
round_0878,post_massive,1.4386,1.1366,24.493307743050703,-5.141789891840201,1250.9252738543496,stop,-20.99263172528848
round_0881,post_massive,1.5911,2.2817,24.393042840159815,10.587540308851963,1261.5128141632017,target,43.40393438501664
round_0887,post_massive,1.1334,0.9033,24.59949987618243,-4.994128217319197,1256.5186859458827,stop,-20.301746956061407
round_0890,post_massive,1.145,1.6716,18.84778028918824,8.66833283867819,1265.187018784561,target,45.99126637554585
round_0914,hot_streak_3,1.4171,1.1563,10.121496150276487,-1.8627381243328678,1263.324280660228,stop,-18.40378237245077
round_0915,hot_streak_3,1.3181,2.1479,7.074615971697277,4.453771590406191,1267.7780522506341,target,62.954252332903415
round_0917,post_massive,1.3222,1.9017,19.016670783759512,8.334715413090784,1276.112767663725,target,43.82846770533957
round_0918,post_massive,1.2074,1.0005,24.884198969442636,-4.264155016380393,1271.8486126473447,stop,-17.135994699353997
round_0929,post_massive,1.4282,2.3113,19.07772918971017,11.796346903398021,1283.6449595507427,target,61.83307659991599
round_0930,hot_streak_3,1.6493,1.4126,10.269159676405941,-1.473782874798573,1282.171176675944,stop,-14.351543078881946
round_0944,hot_streak_3,1.3381,1.1686,10.257369413407552,-1.2993230069296615,1280.8718536690144,stop,-12.667214707420971
round_0945,hot_streak_3,1.3615,2.2554,10.246974829352116,6.727705324978228,1287.5995589939926,target,65.65552699228792
round_0950,post_massive,1.3331,0.0,19.31399338490989,-19.31399338490989,1268.2855656090826,crash,-100.0
round_0960,post_massive,1.4909,2.1091,19.024283484136237,7.888397645645604,1276.173963254728,target,41.4648869810182
round_0961,post_massive,1.2644,0.9775,19.14260944882092,-4.343573751080925,1271.8303895036472,stop,-22.690604239164813
round_0963,post_massive,1.1713,1.6662,19.07745584255471,8.060644494561874,1279.8910339982092,target,42.25219841202082
round_0964,post_massive,1.164,0.8435,19.198365509973137,-5.28614789170652,1274.6048861065026,stop,-27.534364261168378
round_0965,post_massive,1.1517,1.6152,19.119073291597537,7.694443405969835,1282.2993295124725,target,40.244855431101854
round_0976,hot_streak,1.3603,1.0313,17.952190613174615,-4.341888342082223,1277.9574411703902,stop,-24.185841358523852
round_0979,hot_streak_3,1.618,2.1957,14.31312334110837,5.110439650283251,1283.0678808206735,target,35.704573547589604
round_0987,hot_streak_3,1.1764,2.0219,14.370360265191541,10.328238357888006,1293.3961191785615,target,71.87181230873854
round_0992,hot_streak,1.2534,0.0,18.10754566849986,-18.10754566849986,1275.2885735100617,crash,-100.0
round_0993,hot_streak_3,1.1705,0.8767,14.283232023312689,-3.5851461498925836,1271.7034273601691,stop,-25.100384451089287
round_10001,hot_streak_3,1.1686,1.0046,14.243078386433895,-1.998857483634401,1269.7045698765348,stop,-14.033886702036636
round_10012,post_massive,1.1711,0.9486,19.045568548148022,-3.6185116573844542,1266.0860582191506,stop,-18.999231491759883
round_10017,post_massive,1.3886,1.1781,18.99129087328726,-2.878918859878276,1263.2071393592723,stop,-15.159153103845613
round_1002,post_massive,1.1473,1.7701,18.948107090389083,10.285784969837291,1273.4929243291097,target,54.283971062494565
round_10020,post_massive,1.368,1.9306,24.833112024417638,10.212798848638421,1283.705723177748,target,41.12573099415204
round_10022,hot_streak_3,1.6138,1.3636,10.064252869713544,-1.5603396133364278,1282.1453835644115,stop,-15.503779898376502
round_10028,post_massive,1.1506,0.9468,25.00183497950602,-4.428449477510281,1277.7169340869013,stop,-17.712497827220584
round_1003,post_massive,1.2148,1.7614,24.915480214694576,11.210735499960535,1288.9276695868618,target,44.99506091537702
round_10033,post_massive,1.5149,1.2509,25.13408955694381,-4.3800908594845644,1284.5475787273774,stop,-17.42689286421546
round_10037,post_massive,1.2342,1.8015,25.04867778518386,11.513624135095451,1296.0612028624728,target,45.96499756927565
round_10062,hot_streak,1.1335,3.0334,12.701399788052232,21.289271687093457,1317.3504745495663,target,167.61358623731803
round_10064,hot_streak,1.0833,0.85,18.442906643693927,-3.971873091455546,1313.3786014581108,stop,-21.536047262992707
round_10071,post_massive,1.3442,1.0911,25.61088272843316,-4.822284197713461,1308.5563172603975,stop,-18.82904329712841
round_10080,post_massive,1.3062,1.8548,25.51684818657775,10.716998097654685,1319.273315358052,target,41.99969376818251
round_10082,post_massive,1.3873,0.9838,25.725829649482012,-7.482427927316365,1311.7908874307357,stop,-29.085273552944567
round_10092,hot_streak_3,1.1995,2.3345,14.69205793922424,13.902030646952488,1325.692918077688,target,94.62275948311796
round_10093,hot_streak,1.9068,3.22,18.559700853087634,12.78193788560661,1338.4748559632947,target,68.86930983847283
round_10094,hot_streak_5,1.0043,0.8212,31.48092861225669,-5.739478272333166,1332.7353776909615,stop,-18.231604102359846
round_10095,post_massive,1.3216,1.0098,25.988339864973753,-6.131328972381066,1326.6040487185803,stop,-23.592615012106542
round_10099,post_massive,1.3141,2.0801,25.868778950012317,15.07912995640319,1341.6831786749835,target,58.29084544555207
round_10101,post_massive,1.4455,2.2796,26.16282198416218,15.096789911442173,1356.7799685864256,target,57.70321687997231
round_10102,hot_streak_3,1.1936,0.9549,15.195935648167966,-3.0389325060469954,1353.7410360803788,stop,-19.99832439678284
round_10106,post_massive,1.2442,0.1752,26.397950203567387,-22.680765767250875,1331.0602703131278,stop,-85.91866259443819
round_10109,hot_streak,1.0551,3.0036,18.63484378438379,34.41379311332748,1365.4740634264554,target,184.6744384418539
round_1011,hot_streak,1.8751,1.55741,19.116636887970376,-3.2388482603270816,1362.2352151661282,stop,-16.942563063303297
round_10110,post_massive,1.2444,0.0,26.563586695739502,-26.563586695739502,1335.6716284703887,crash,-100.0
round_10115,hot_streak_3,1.3227,1.0856,14.959522238868352,-2.6815625030889,1332.9900659672996,stop,-17.925455507673703
round_10116,hot_streak_3,1.2361,1.0875,14.929488738833756,-1.7947755251118007,1331.1952904421878,stop,-12.021681093762648
round_10117,hot_streak_3,1.2202,2.03,10.43657107706675,6.926352448949887,1338.1216428911378,target,66.36616948041303
